smiles,group
O(CCCN1CCN(CC1)C)c1cc(ccc1)C(=O)N1CC(c2c([nH]c3c2cccc3)C(=C1)C(OC(C)C)=O)(C)C,training
Clc1cc(NS(=O)(=O)c2cc3CCC(=O)Nc3cc2F)ccc1F,training
Clc1ccc(cc1)-c1ccc(S(=O)(=O)C(CCN2C(=O)c3c(cccc3)C2=O)C(O)=O)cc1,training
Clc1cc2c(N=C(NC)C[N+]([O-])=C2c2ccccc2)cc1,training
O=C(NCCCC(c1ccccc1)c1ccccc1)c1cccnc1,training
S(=O)(=O)(c1cc2CC(N(S(=O)(=O)C)c2cc1)C)c1cc2OCCOc2cc1,training
CC1=C(CC2CCC3=C(C)C4=CC=CC=C4N3C2=O)NC=N1,training
O1C2(CCC(CC2)C(=O)N(CCN2CCCCC2)C)c2c(cc(OC)cc2)C1=O,training
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,training
Clc1cc2c(cc1NC(=O)C(NC)c1ccccc1)C=CNC2=O,training
Ic1cc(F)c(Nc2c(F)c(F)c(cc2C(=O)NOCCO)CN2OCCOC2=O)cc1,training
NC1=CC=C(C=C1)N=NC1=CC=CC=C1,training
Clc1ccc(cc1)-c1n(c2c(ccc(c2)C(=O)NC(C(=O)Nc2ccc(cc2)\C=C\C(O)=O)(C)C)c1C1CCCCC1)C,training
FC(F)(F)c1cc(ccc1)CN1CCc2c(ccc(-n3cc(nc3)C)c2O)C1=O,training
Clc1cc(S(=O)(=O)\N=C(/NCC)\N2N=CCC2c2ccc(F)cc2)ccc1,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C1=C(O)C(=NN(CCC(C)C)C1=O)CC(C)C)C,training
s1c(cnc1C)C(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@H]2N(C[C@H](Oc3cc(OC(C)C)nc4c3ccc(OC)c4C)C2)C1=O)C(=O)NS(=O)(=O)C1CC1,training
S(=O)(=O)(Nc1cc2S(=O)(=O)C=C(Nc2cc1)C1=C(O)C(=NN(CCC(C)C)C1=O)c1ccccc1)C,training
Clc1ccccc1NC(=O)CSc1nnnn1-c1ccc(cc1Cl)C(C)(C)C,training
s1c(ncc1C(=O)c1cc(O)ccc1)-c1cc(C)c(O)cc1,training
O1[C@@H](C\C=C\C=C\[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(=O)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cc(O)ccc2)C(=O)N2NC(CCC2)C1=O)/C(=C/C=C/C(=O)NC(C)C)/C,training
FC(F)(F)c1ccc(cc1)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)Nc1ccncc1,training
Clc1sc(S(=O)(=O)\N=C(/NCC)\N2N=CC(C2)CC)cc1,training
FC(F)(F)CN1CCC(n2c3c4cc[nH]c4ncc3nc2)(CC1)C,training
Clc1ccc(cc1)[C@@H](N1S(=O)(=O)C(n2c(C1)cnc2)CC1CC1)C,training
S(C)c1ccccc1-c1cc(ccc1OC)C1=Nc2c(n(nc2C(C)(C)C)CCCO)C(=O)NC1,training
S(=O)(=O)(N1CCC(CC1)C(=O)NC1CCCCCC1)c1ccc(cc1C)C,training
NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1,training
Clc1ccccc1-n1c(nnc1\C=C\c1oc(nn1)-c1ccc(cc1)C#N)-c1ncc(S(=O)(=O)C)cc1,training
CCCCOC1=CC=C(N)C=C1,training
Ic1cc(F)c(Nc2n(C)c(cc2C(=O)N2CC(N)C2)C(=O)C)cc1,training
Fc1cc(OCC(F)Cn2c3CCCCc3c3cc(ccc23)-c2onc(n2)C)cc(F)c1,training
[nH]1c2cc(ccc2cc1)C(N1CCCN(CC1)C1CCC1)c1nnnn1Cc1ccccc1,training
CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,training
O(C)c1ccc(N2CCN(CC2)CC[C@@H](OC(=O)N)c2ccccc2)cc1,training
F[C@@H]1CNCC[C@H]1n1c2c3cc[nH]c3ncc2nc1C,training
O1c2c(ccc(N(C)C)c2)C(C(C#N)=C1N)c1ccccc1OCC,training
COC1=CC2=C(C=C1OC)C1C(CO2)OC2=C3CC(OC3=CC=C2C1=O)C(C)=C,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H](C3CCC2CC3)C=1O)CC1CCCC1)C,training
Clc1ccc(cc1)C1=N[C@H](c2n(-c3sc(C)c(c13)C)c(nn2)C)CC(OC(C)(C)C)=O,training
n1cc2c(ccnc2)c(c1-c1ccc(cc1)C1(N)CCC1)-c1ccccc1,training
Clc1cccc(C)c1NC(=O)Nc1cc2c(cc1C(=O)N[C@H](C(O)=O)C1CCCCC1)cccc2,training
OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1,training
O=C1N(C)[C@@H]([C@H](O)[C@@H](C\C=C\C)C)C(=O)N[C@@H](CC)C(=O)N(CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H]1C(C)C)C,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@H]2[C@H]([C@@H]3CC[C@H]2C3)C=1O)Cc1ccc(F)cc1)C,training
O=C(N(C)C)[C@H]1N(c2c(C1)cccc2)C(=O)CCN1CCC(CC1)c1ccccc1,training
[nH]1c2ncnc(N(C)C3CCCCCC3)c2cc1,training
O(CCOC)c1cc2c(ncnc2N2CCN(CC2)C(=O)Nc2ccc(cc2)C(C)(C)C)cc1OCCOC,training
O1[C@H]2[C@@H](NC[C@H](C2)C)[C@@H](C)[C@]12CC(=C1[C@H]([C@H]3[C@H](C1)[C@@]1([C@H](CC3)c3c(n[nH]c3)CC1)C)CC2)C,training
Fc1ccc(cc1)-c1c(COC)c(nc(C(C)C)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)C(C)C,training
P(Oc1c2c(ccc1)cccc2)(OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C(F)(F)[C@@H]1O)(=O)N[C@H](C(OCc1ccccc1)=O)C,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(C2C(CCC2)C=1O)CCc1ccccc1)C,training
O=C1N2C(=Nc3c1cc1c(c3)cccc1)C(=CC=C2)C(=O)NCCN1CCN(CC1)C,training
Ic1cc(F)c(Nc2n(C)c(C(=O)C)c(F)c2C(=O)NOC[C@@H](O)CO)cc1,training
n1n(nnc1)C(CCN(C)C)c1cc2c(cc1)cccc2,training
S(=O)(=O)(N1CCN(CC1)C)c1cc(C=2NC(=O)c3nn(CC(C)C)c(c3N=2)CC)c(OCCOC)nc1,training
Fc1c2c(N=C(N(Cc3ccccc3C#N)C2=O)N2C[C@H](N)CCC2)ccc1,training
O(C)c1cc(ccc1)CNC(=O)c1n(c2nc(ccc2c1)-c1cn[nH]c1)C,training
Clc1ccc(N2C(=Nc3ncccc3C2=O)[C@H](N(CC2CCS(=O)(=O)CC2)C(=O)Cc2cc(F)c(cc2)C(F)(F)F)C)cc1,training
Clc1cc2c(cc1NC(=O)[C@@H]1CCCNC1)C=CNC2=O,training
Clc1cc(N\C(=N\c2nccn2C(C)C)\NCC(C)(C)C)ccc1Cl,training
s1cccc1C(O)(C(OC1C[C@H]2[N+]([C@H]([C@@H]3O[C@H]23)C1)(C)C)=O)c1sccc1,training
Clc1cc(Nc2nc(NC3CCC(N(C)C)CC3)c(cn2)-c2onc(c2)C)cc(Cl)c1,training
O(CC=1NC(=O)c2cc(ccc2N=1)-c1cn[nH]c1)c1cc(OC)ccc1,training
O=C(N[C@@H]([C@H](O)C)C(=O)NO)c1ccc(cc1)-c1ccc(cc1)CC,training
CCC1=CC(=C(O)C=C1)C(C)(C)C,training
Clc1c2n(nc1C(=O)N1CC(=O)N(CC1)C1C[C@@H]3[C@H](C1)C3)C(=CC(=C2)C1CC1)C(F)(F)F,training
Fc1cc2nc([nH]c2cc1)CCCn1c2CCCCc2c2cc(ccc12)-c1onc(n1)C,training
CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O,training
Clc1ccc(cc1C(=O)NCC1(O)CCCCCC1)-c1n[nH]c(c1)C,training
S(CCC)c1cc2[nH]c(nc2cc1)NC(OC)=O,training
O=C(NO)\C=C\c1cc2nc(n(c2cc1)CC(CN(C)C)(C)C)CCc1ccccc1,training
S(=O)(=O)(C)c1cc(Oc2cc(-n3c4c(nc3CC(C)C)c(ccc4)C(F)(F)F)ccc2)ccc1,training
[nH]1c2ncc3nc(n(c3c2cc1)C1CCC(NCCC#N)CC1)C,training
O=C(Nc1cc2c(CCNC2)cc1)c1cc(ccc1)CNC(=O)Nc1ccc(cc1)C#N,training
O(C)c1cc(ccc1OC)C(=O)NCc1cc(ccc1)C(=O)Nc1ccc(cc1)CO,training
o1cccc1C(=O)N([C@@H](C(=O)NC(C)(C)C)c1cccnc1)c1ccc(cc1)C(C)(C)C,training
O=C(N)N1c2c(C=Cc3c1cccc3)cccc2,training
COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CCN(C)C)C(=O)C1OC(C)=O,training
Clc1cccc(Cl)c1NC1=NC(CN1)C,training
Fc1c2c([nH]cc2C(=O)C(=O)N2CCN(CC2)C(=O)c2ccccc2)c(cc1)-c1[nH]cnn1,training
O=C1N(c2c(N1C(C)=C)ccnc2)Cc1nc2c(n1CCCC#N)cccc2,training
n12c(ncc1)C=NC(=C2c1ccccc1)c1ccc(cc1)C1(N)CCC1,training
s1ccnc1C\1=NNC(=O)/C/1=C\c1c2c(n(c1)C)cccc2OCc1ccccc1,training
O(C)c1cc(ccc1OC)CN1C(=O)c2c(cccc2N2CCN(CC2)[C@H](C)c2ccccc2)C1=O,training
F[C@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]1OC(=O)[C@H]2N(CCCC2)C(=O)C(=O)[C@@]2(O[C@@H]([C@@H](OC)C[C@H]2C)[C@@H](OC)C[C@H](C\C(=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)\C)C)O,training
s1c2c(cc(NC(=O)C(NC(=O)c3cc4n(C)c(c(c4cc3)C3CCCCC3)-c3ncccc3)(C)C)cc2)c(C)c1C(O)=O,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(C2C(CCCC2)C=1O)CCC(C)C)C,training
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,training
O=C(NCc1ccc(-n2c3ncccc3nc2-c2cccnc2N)cc1)c1ccccc1,training
O(CC)c1ccccc1C(=O)NCC1(N2CCNCC2)CCCCC1,training
n1c2CCNCCc2cnc1Cc1ccccc1,training
O=C1N(CC(=O)NCCONC(N)=N)C(=CN=C1NCCc1c2c(ccc1)cccc2)C,training
Clc1cc(ccc1O)[C@@H]1NC(=O)NC(CC)=C1C(OCC1CCCCC1)=O,training
s1cccc1C1=NN(CCC(C)C)C(=O)C(=C1O)C=1Nc2c(S(=O)(=O)N=1)cc(OC(C(=O)N)C)cc2,training
O=C1N(c2c(N1Cc1nc3c(n1CCC(O)(C)C)cccc3)cncc2)C1CC1,training
s1cncc1COC(=O)N[C@H]([C@@H](O)C[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(sc1)C(C)C)C)C(C)C)Cc1ccccc1)Cc1ccccc1,training
S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3N(C[C@H](Oc4cc(OC(C)C)nc5c4ccc(OC)c5C)C3)C(=O)[C@@H](NC(=O)c3nn(nc3)C)CCCCC\C=C/[C@@H]1C2)C1CC1,training
Fc1cc(N2CCC(CC2)C(=O)Nc2cc3NC(=O)COc3cc2)cc(F)c1,training
COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,training
FC(F)(F)c1oc(nc1C(=O)Nc1ccc(nc1)N(CCOC)C)-c1ccccc1,training
Clc1cc(CN2CCN(S(=O)(=O)c3ccccc3)CC2)c(OCC(O)=O)cc1,training
Brc1cc2nc([nH]c2nc1)CCc1nccc(OC)c1,training
Clc1cc(ccc1Cl)C(=O)N[C@H]1[C@@H]2Oc3c4[C@@]25CCN([C@H](Cc4ccc3O)[C@]5(O)CC1)CC1CC1,training
Clc1ccc(cc1)C(NC(=O)c1ccc(cc1)CN)C=1NC(=O)c2cc(ccc2N=1)-c1cn[nH]c1,training
Clc1cc2c(cc1NC(=O)C1CNCC1c1ncccc1)C=CNC2=O,training
Fc1cc(ccc1F)C1(Oc2c(N(CCCOC)C1=O)cc(cc2)-c1c(nc(nc1N)N)CC)C,training
O1CCC(CC1)CCN1c2c(N(C(=O)N[C@@H](C(C)(C)C)C(=O)N)C1=O)cccc2,training
Clc1cc(Cl)ccc1CNC(=O)N1CCC(Oc2ccccc2S(=O)(=O)C)CC1,training
[nH]1c2ncc3nnn(c3c2cc1)C1CCN(CC1)Cc1ccccc1,training
Fc1c2c([nH]cc2C(=O)C(=O)N2CCN(CC2)C(=O)c2ccccc2)c(cc1)-c1ocnn1,training
S(=O)(=O)(NC(=O)C1CCN(CC1)c1nc(C)c(cc1C#N)C(OCC)=O)Cc1ccccc1,training
CCCCCCCCCCCC(=O)OC,training
Clc1ccc(cc1)CCN(C(=O)c1c2c(ccc1)cncc2)C1CCC2(OCCO2)CC1,training
Fc1cc(Nc2nc(NC)c(cn2)C(F)(F)F)c(OC)cc1C(=O)N1CCOCC1,training
Clc1cc(OC2CCN(CC2)CC2CCN(CC2)[C@@H](Cc2ccc(cc2)C#N)C(O)=O)ccc1Cl,training
S(=O)(=O)(Nc1cc(ccc1)CO)c1ccc(cc1)-c1ccc(cc1)C,training
CCCCOC(=O)C1=CC=CC=C1,training
O1CCOCCOc2c(OCC1)cc1c(ncnc1Nc1cc(ccc1)C#C)c2,training
O=C(NCCC(c1ccccc1)c1ccccc1)c1ccncc1,training
Fc1cc(F)ccc1CNC(=O)C1=CN2C(=C(O)C1=O)C(=O)N1[C@H](OC[C@@H]1C)C2,training
Fc1cc(C)c(OC2CCN(CC2)CC2CCN(CC2)[C@@](Cc2ccc(F)cc2)(C(O)=O)C)cc1,training
O(C)c1cc(N2CCN(CC2)C2CCN(CC2)c2c3nc(ccc3ccc2)C)c2ncccc2c1,training
[nH]1c2ncc3ncn(c3c2cc1)C1CCC(N)CC1,training
S(=O)(=O)(C)C1(CC1)c1nc(nc(N2CCOCC2)c1)-c1c2c([nH]nc2)ccc1,training
O1[C@@H](C\C=C\C=C\[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(=O)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cc(O)ccc2)C(=O)N2NC(CCC2)C1=O)/C(=C/C=C/C(=O)N(OC)C)/C,training
S(=O)(=O)(C)c1ccc(cc1)C(=O)NCCC(c1ccc(F)cc1)c1ccc(F)cc1,training
o1nc(cc1CO)[C@H](O)[C@](OCc1ccc(cc1)-c1ccccc1)(C(=O)NO)C,training
N1(CCN(CC1)C[C@@H]1C[C@H]1c1ccccc1)c1ccc(cc1C)C,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C=1O)CCC(C)C)C,training
O1[C@@H](C\C=C\C=C\[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(=O)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cc(O)ccc2)C(=O)N2NC(CCC2)C1=O)/C(=C/C=C/C(=O)N(CC)CC)/C,training
OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C1=C(O)C(=NN(CCC(C)C)C1=O)CCC)C,training
O1CC(Cc2c1cccc2)c1[nH]c2cc(ccc2n1)-c1nc(ncc1)N,training
Clc1ccc(cc1)-c1cc(F)c(cc1)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)Nc1ccncc1,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(n2c(ccc2)C=1O)CCC(C)C)C1CC1,training
s1c2c(cc(NC(=O)C3(NC(=O)c4cc5n(C)c(c(c5cc4)C4CCCCC4)-c4ncccc4)CCN(CC3)C)cc2)c(C)c1C(O)=O,training
Fc1ccc(OC[C@@H]2CC[C@@H]3N(C2)CCN(C3)c2ncc(F)cn2)cc1,training
Ic1cc(F)c(NC=2C3=C(N=CN(C[C@@H](O)CO)C3=O)N(C)C(=O)C=2F)cc1,training
CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,training
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,training
O(c1cc2CC(N)c3n(-c2cc1)cnn3)c1ccccc1,training
Brc1ccc(NC=2n3ncnc3N=C(C=2)C)cc1C(F)(F)F,training
S(=O)(=O)(NN1C[C@@H](N(CCc2ccc(OCC)cc2)C1=O)c1ccc(OC)cc1)C,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C1=C(O)C(=NN(CCC(C)C)C1=O)c1ccn(c1)C)C,training
CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,training
o1c(ccc1-c1ccc(cc1)C(NOCC)=N)-c1ccc(cc1)C(NOCC)=N,training
s1c(-c2ccc(F)cc2)c(nc1C)C(=O)N1[C@@H](CCC[C@@H]1C)CNc1oc2c(n1)cccc2,training
S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(C2C(CCCCC2)C=1O)CCC(C)(C)C)C,training
Fc1ccc(-n2c(C)c(nc2C)C(=O)Nc2nc(F)ccc2)cc1,training
O(C)c1ccc(cc1)C(N)C=1NC(=O)c2cc(ccc2N=1)-c1cn[nH]c1,training
Brc1cc(F)c(NC2=C(C)C(=O)N(C=C2C(=O)NOCCO)C)cc1,training
o1nc(nc1[C@@H](NC(=O)N1c2c(N(CCN3CCOCC3)C1=O)cccc2)C(C)(C)C)C,training
P(OCOC(=O)C(C)(C)C)(OCOC(=O)C(C)(C)C)(=O)COCCn1c2ncnc(N)c2nc1,training
Clc1cc(ccc1Cl)[C@@]12[C@@H](CCC1)CNC2,training
s1c2c(cc1C(=O)NCc1ccc(S(=O)(=O)c3cc(ccc3)C(F)(F)F)cc1)ccnc2,training
Brc1c2nc(cc(O[C@@H]3C[C@H](N(C3)C(=O)[C@H](C(C)(C)C)CC(=O)NC3CCCC3)C(=O)N[C@@]3(C[C@H]3C=C)C(O)=O)c2ccc1OC)-c1nc(sc1)NC(C)C,training
S(CC(=O)c1cc2CCN(S(=O)(=O)CC)c2cc1)c1cc2OCCCOc2cc1,training
O1c2c(cccc2-c2cc(OCCOC)c(NC(=O)CN3CCOCC3)cc2)C(=O)C=C1N1CCOCC1,training
Clc1cc2nccc(-n3c4c(cc(OC)cc4)c(CC(O)=O)c3C)c2cc1,training
S(CCN(C)C)c1nc(nc2c1cc(cc2)-c1cn[nH]c1)C1Cc2cc(OC)ccc2OC1,training
s1c2N(CC(C)C)C(=O)N(C)C(=O)c2c(C(=O)N2C[C@H](O)CC2)c1Cc1c2cc(F)ccc2ncc1,training
CCOP(=S)(OCC)SCSC(C)(C)C,training
O(CCN1CCN(CC1)C)c1ccc(cc1)C(=O)N1CC(c2c([nH]c3c2cccc3)C(=C1)C(OC(C)C)=O)(C)C,training
O=C(N[C@@H](C1CCCCC1)c1nnn(c1)C1(CC1)C#N)c1ccc(cc1)C,training
CCCCCCCCCCCCN(C)C,training
O=C(N[C@@H](CC(=O)N)C(=O)N[C@H]([C@H](O)CN1C[C@@H]2[C@H](C[C@H]1C(=O)NC(C)(C)C)CCCC2)Cc1ccccc1)c1nc2c(cc1)cccc2,training
OC1=C(Cl)C=C(Cl)C(Cl)=C1,training
S(Cc1ccccc1C#N)c1nc(O)cc(O)n1,training
O1CCN(CC1)CCN1c2c(N(C(=O)NC3CCOc4c3cccc4)C1=O)cccc2,training
s1cccc1C1=NN(CCC(C)C)C(=O)C(=C1O)C=1Nc2c(S(=O)(=O)N=1)cc(N1CCCC1=O)cc2,training
O1[C@H](CN(C\C=C/CN)C)[C@@H](O)[C@@H](O)[C@@H]1n1c2nc(nc(N)c2nc1)C,training
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,training
Clc1cnc(N2CCN(CC2)Cc2cn(nc2)C)cc1C(=O)Nc1cc-2c(CCc3c-2n(nc3C(=O)N)-c2cc(F)ccc2)cc1,training
Fc1ccc(NC(=O)N2CCCC2)cc1-c1[nH]c2ncc(cc2n1)-c1ccccc1,training
ClC=1C=Cc2n(C=1)c(C(=O)NCc1ccc(cc1)-c1ccc(Cl)cc1)c(n2)CC,training
O(C)c1cc2CCCN(c2cc1)c1nc(nc2c1cccc2)C,training
S(CC(=O)c1ccc(NS(=O)(=O)C)cc1)c1cc2OCCOc2cc1,training
O=C(Nc1ccccc1C(=O)N)c1cccnc1N1CCCCC1,training
[H]C12CC3=C4C(OC5C(O)C=CC1C45CCN2C)=C(OC)C=C3,training
O(\N=C(\N)/c1ccc(cc1)-c1nc(cnc1)-c1ccc(nc1)/C(=N/OC)/N)C,training
O(c1ccc(NC(=O)N2CCN(CC2)c2ncnc3c2ccc(OCCOC)c3)cc1)c1cc2c([nH]cc2)cc1,training
[nH]1nc(nn1)-c1cc(ccc1)-c1ccc(cc1)C,training
O(C)c1cccc(OC)c1CNC(=O)c1[nH]c2c(cc(cc2)C[C@H](NC[C@H](O)c2cc(CO)c(O)cc2)C)c1,training
S(=O)(=O)(Nc1cccc(N(Cc2ccc(F)cc2F)Cc2ccc(Oc3cc(OCC(O)=O)c(F)cc3)cc2)c1C)C,training
Clc1c2NCCOc2ccc1-c1c(C)c(nc(C)c1[C@H](OC(C)(C)C)C(O)=O)-c1cc(C)c(cc1)C,training
O=C(NO)\C=C\c1cc2nc(n(c2cc1)CCN(CC)CC)CCc1ccccc1,training
Clc1ccc(cc1)CN1S(=O)(=O)C(n2c(C1)cnc2)CC(C)C,training
Clc1cc(ccc1Cl)-c1oc2c(n1)cc(S(=O)(=O)CC)cc2,training
O(c1c(n(nc1CC)CCO)CC)c1cc(cc(c1)C)C#N,training
CC1CC(C)C(=O)C(C1)C(O)CC1CC(=O)NC(=O)C1,training
P(Oc1ccccc1)(=O)(N[C@@H](Cc1ccccc1)C(OC(C)C)=O)CO[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)C(F)=C1,training
O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@H](O)[C@]4(CC3)C)CCC2=C1)C,training
O(CCc1cc2c(nc1)N(c1ncccc1N(C)C2=O)CC)c1ccc(cc1C)C(O)=O,training
Fc1ccc(cc1)-c1onc(c1)C(=O)N1C[C@@H](NC(=O)[C@@H]1CC(C)C)C1CCCC1,training
O(C)c1ccc(OC)cc1C(O)CN,training
s1nc(N2CCOCC2)c(OC[C@@H](O)CNC(C)(C)C)n1,training
O=C1N(Cc2ccccc2C#N)C(=NC(=C1)c1ccccc1)N1C[C@H](N)CCC1,training
OC(=O)\C=C\c1ccc(NC(=O)C2(NC(=O)c3cc4n(C)c(c(c4cc3)C3CCCCC3)-c3ncccc3)CCCCC2)cc1,training
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,training
Clc1ccc2c(C=CN(CCO)C2=O)c1NC(=O)Cc1cc(F)c(cc1)C(F)(F)F,training
FC1=C(Nc2ccc(cc2F)C#C)C(=C2N(CCC2)C1=O)C(=O)NOCCO,training
s1cccc1CN1[C@@H]2[C@@H](C3CCC2CC3)C(O)=C(C1=O)C=1Nc2c(S(=O)(=O)N=1)cc(NS(=O)(=O)C)cc2,training
n1nnn(Cc2ccccc2)c1C(N1CCCN(CC1)C1CCC1)c1cc2c(n(cc2)C)cc1,training
O(C(C)(C)C)C(=O)N[C@@H]1C[C@H](n2c3c4cc[nH]c4ncc3nc2)CC1,training
S(CCCn1c2CCCCc2c2cc(ccc12)-c1onc(n1)C)c1cc(F)cc(F)c1,training
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,training
P(Oc1ccccc1)(=O)(N[C@H](C(OCC)=O)C)CO[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)C(F)=C1,training
s1c(cc(C(=O)N)c1Nc1nc(ccc1)C)-c1cc(ccc1)C(F)(F)F,training
COC(=O)C1=C(CS(=O)(=O)NC(=O)NC2=NC(OC)=CC(OC)=N2)C=CC=C1,training
Fc1cc(cc(F)c1)C1(Oc2c(N(CCCOC)C1=O)cc(cc2)-c1c(nc(nc1N)N)CC)CC,training
Fc1ccc(cc1C(F)(F)F)-c1noc(c1)CNC(=O)CCCc1nc2ncccc2cc1,training
CCCCCCOC1=CC=C(N)C=C1,training
